split,identity_id,role,image_path
train,n000306,enrollment,ml/data/processed/vggface2/train/n000306/0246_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0154_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0054_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0129_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0029_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0202_02.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0380_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0280_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0453_02.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0037_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0357_03.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0046_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0058_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0158_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0125_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0392_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0070_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0170_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0496_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0488_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0013_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0113_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0091_02.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0162_01.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0202_03.jpg
train,n000306,probe,ml/data/processed/vggface2/train/n000306/0083_02.jpg
